id,name,training_phrases,response_templates,created_at,updated_at
1,powitanie,"[""cze\u015b\u0107"", ""hej"", ""witaj"", ""dzie\u0144 dobry"", ""siema"", ""hello"", ""hi"", ""witam""]","[""Cze\u015b\u0107! \ud83d\udc4b Witaj w NovaHouse! Jestem Twoim asystentem i pomog\u0119 Ci w wyborze pakietu wyko\u0144czeniowego, uzyskaniu informacji o cenach, um\u00f3wieniu spotkania z konsultantem i odpowiedzi na pytania o nasze us\u0142ugi. Jak mog\u0119 Ci pom\u00f3c?""]",,
2,umowienie_spotkania,"[""um\u00f3w spotkanie"", ""spotkanie z konsultantem"", ""chc\u0119 si\u0119 spotka\u0107"", ""wizyta konsultanta"", ""um\u00f3wi\u0107 wizyt\u0119"", ""spotkanie"", ""konsultacja""]","[""\ud83d\udcc5 Konsultacje NovaHouse: Podaj sw\u00f3j numer telefonu, a skontaktujemy si\u0119 z Tob\u0105 w ci\u0105gu 24 godzin.""]",,
3,umowienie_konsultacji,"[""um\u00f3w konsultacj\u0119"", ""chc\u0119 si\u0119 um\u00f3wi\u0107"", ""konsultacja"", ""doradztwo"", ""chc\u0119 spotkanie"", ""konsultant"", ""doradca""]","[""\u015awietnie! Podaj prosz\u0119 sw\u00f3j numer telefonu, a my skontaktujemy si\u0119 z Tob\u0105 w ci\u0105gu 24 godzin.""]",,
4,zapytanie_o_pakiety,"[""pakiety wyko\u0144czeniowe"", ""jakie pakiety"", ""rodzaje pakiet\u00f3w"", ""oferta pakiet\u00f3w"", ""pakiet comfort"", ""pakiet express"", ""pakiety""]","[""\ud83c\udfe0 Nasze pakiety wyko\u0144czeniowe NovaHouse: \ud83d\udfe1 Pakiet Comfort - podstawowy standard (do 40m\u00b2, 4-6 tygodni) \ud83d\udfe0 Pakiet Express Plus + Z2 - premium (do 90m\u00b2, 6-10 tygodni)""]",,
5,wycena_kosztow,"[""ile kosztuje"", ""jaka cena"", ""koszt wykończenia"", ""wycena"", ""cennik"", ""ile płacę"", ""koszt za metr"", ""cena pakietu"", ""budżet"", ""ile wydać""]","[""Rozumiem, że pytasz o wycena_kosztow. Mogę Ci w tym pomóc!""]",,
6,harmonogram_realizacji,"[""jak długo trwa"", ""czas realizacji"", ""kiedy będzie gotowe"", ""harmonogram"", ""terminy"", ""ile czasu"", ""jak szybko"", ""deadline"", ""kiedy skończycie""]","[""Rozumiem, że pytasz o harmonogram_realizacji. Mogę Ci w tym pomóc!""]",,
7,materialy_i_standardy,"[""jakie materiały"", ""standardy wykończenia"", ""jakość materiałów"", ""co zawiera pakiet"", ""specyfikacja"", ""rodzaje materiałów"", ""klasy materiałów"", ""producenci""]","[""Rozumiem, że pytasz o materialy_i_standardy. Mogę Ci w tym pomóc!""]",,
8,proces_realizacji,"[""jak przebiega realizacja"", ""etapy prac"", ""proces wykończenia"", ""jak to działa"", ""kolejność prac"", ""fazy realizacji"", ""co po co"", ""procedura""]","[""Rozumiem, że pytasz o proces_realizacji. Mogę Ci w tym pomóc!""]",,
9,gwarancja_i_serwis,"[""gwarancja"", ""serwis"", ""reklamacje"", ""naprawa"", ""co jeśli coś się zepsuje"", ""odpowiedzialność"", ""ubezpieczenie"", ""ochrona"", ""wsparcie""]","[""Rozumiem, że pytasz o gwarancja_i_serwis. Mogę Ci w tym pomóc!""]",,
10,personalizacja_pakietu,"[""mogę zmienić"", ""dostosowanie"", ""personalizacja"", ""modyfikacja pakietu"", ""inne kolory"", ""zamienić materiał"", ""własne pomysły"", ""indywidualne""]","[""Rozumiem, że pytasz o personalizacja_pakietu. Mogę Ci w tym pomóc!""]",,
11,porownanie_pakietow,"[""różnice między pakietami"", ""porównanie"", ""co lepsze"", ""który pakiet wybrać"", ""comfort vs express"", ""różnica w cenie"", ""co więcej zawiera""]","[""Rozumiem, że pytasz o porownanie_pakietow. Mogę Ci w tym pomóc!""]",,
12,dokumenty_i_pozwolenia,"[""dokumenty"", ""pozwolenia"", ""formalności"", ""papiery"", ""zgłoszenia"", ""urząd"", ""prawne"", ""administracja"", ""procedury""]","[""Rozumiem, że pytasz o dokumenty_i_pozwolenia. Mogę Ci w tym pomóc!""]",,
13,finansowanie_i_platnosci,"[""raty"", ""finansowanie"", ""kredyt"", ""płatności"", ""jak płacić"", ""rozłożenie kosztów"", ""leasing"", ""bank"", ""zaliczka""]","[""Rozumiem, że pytasz o finansowanie_i_platnosci. Mogę Ci w tym pomóc!""]",,
14,referencje_i_portfolio,"[""wasze realizacje"", ""portfolio"", ""referencje"", ""przykłady prac"", ""zdjęcia"", ""wcześniejsze projekty"", ""opinie klientów""]","[""Rozumiem, że pytasz o referencje_i_portfolio. Mogę Ci w tym pomóc!""]",,
15,kontakt_i_lokalizacja,"[""gdzie jesteście"", ""adres"", ""kontakt"", ""telefon"", ""email"", ""showroom"", ""biuro"", ""jak dojechać"", ""godziny otwarcia""]","[""Rozumiem, że pytasz o kontakt_i_lokalizacja. Mogę Ci w tym pomóc!""]",,
16,domy_pasywne,"[""domy pasywne"", ""energooszczędne"", ""ekologiczne"", ""pasywny dom"", ""niskie zużycie energii"", ""certyfikat pasywny"", ""standard pasywny""]","[""Rozumiem, że pytasz o domy_pasywne. Mogę Ci w tym pomóc!""]",,
17,podziekowanie_pozegnanie,"[""dziękuję"", ""dzięki"", ""miłego dnia"", ""do widzenia"", ""pa pa"", ""pozdrawiam"", ""na razie"", ""żegnaj"", ""koniec""]","[""Rozumiem, że pytasz o podziekowanie_pozegnanie. Mogę Ci w tym pomóc!""]",,
